name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Griffith College,Dublin Business School,Irish College for Humanities and Applied Sciences,Total number (all years) who,  Totalprogression(allyears)to 
"Mount Mercy College, Model Farm Road, Cork",Mount Mercy College,ChIJBzRSF_CRREgRSEHlwVm4XKQ,131,2,2,1,2,0,0,88,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,128,0.98
"Christian Brothers Secondary School, Mitchelstown",CBS Mitchelstown,ChIJq3SICBNXQ0gRI-OtTrTFDWI,39,3,0,0,5,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,6,0,4,0,0,0,0,0,38,0.97
"Coláiste an Phiarsaigh, Gleann Maghair, Cathair Chorcai",Coláiste an Phiarsaigh,ChIJY0rVWBmbREgRsQtdmJHny3w,71,0,2,0,3,0,1,51,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,69,0.97
"Coláiste Choilm, Ballincollig",Colaiste Choilm,ChIJvzR5oHKSREgRpkwEt-UtHYI,224,5,0,0,3,0,0,114,1,0,0,0,0,0,0,0,78,0,0,0,0,0,1,0,1,4,0,10,0,0,0,0,0,217,0.97
"Coláiste Daibhéid, Teach Buckingham, Sraid an Mhuilinn na Sabhadoirea, Corcaigh 32",Coláiste Daibhéid,ChIJeZEC7gSQREgRrDJCAzj8lPs,32,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.97
"Maria Immaculata Comm. College, Dunmanway",Maria Immaculata Community College,ChIJM1dgy60BRUgRAivll7NlPDY,64,0,0,1,1,1,1,13,0,0,0,0,0,0,0,1,25,0,1,0,0,0,5,0,2,7,1,2,0,0,0,0,0,61,0.95
"Loreto Secondary School, Fermoy",Loreto Secondary School,ChIJjXHcAj9fQ0gRxPqrfEZ-qag,94,2,2,0,8,1,6,29,0,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,1,14,0,8,0,0,0,0,0,89,0.95
"St Mary’s Secondary School, Convent of Mercy, Mallow",St Mary's Secondary School,ChIJhxXdiFC5REgR89j1PjVFgtg,84,3,3,1,18,1,1,24,0,0,0,0,0,0,0,0,10,0,0,0,1,0,3,0,3,1,0,8,0,0,1,0,0,78,0.93
"St Angela’s College, Patricks Hill, Cork City",ST.Angelas College,ChIJL2qz3Q2QREgRd5ifr7-tOZs,80,2,2,0,0,0,0,44,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,74,0.93
"Coláiste Mhuire, Realt na Mara, Crosshaven, Corcaigh",Colaiste Muire Crosshaven,ChIJV8ba-kSBREgRiTj4UH24UF8,50,0,1,0,1,0,0,24,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,46,0.92
"St Mary’s Secondary School, Macroom",St. Mary's Secondary School,ChIJPb9-6EHlREgRaiRT4Cfv8VM,58,2,0,0,3,0,2,19,1,0,0,0,0,0,0,0,17,1,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,53,0.91
