name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
St. Tiernan?s Community School	St Tiernan?s Community School	Parkvale	Balally	Dublin 16		"Parkvale, Balally, Dublin 16"	Dublin
Rosmini Community School	Rosmini Community School	Grace Park Road	Drumcondra	Dublin 9		"Grace Park Road, Drumcondra, Dublin 9"	Dublin
Bailieborough Community School	Bailieborough Community School	Bailieborough	Co Cavan			"Bailieborough, Co Cavan"	Cavan
Tullow Community School	Tullow Community School	The Mullawn	Tullow	Co. Carlow		"The Mullawn, Tullow, Co. Carlow"	Carlow
Community School	Castlecomer Community School	Castlecomer	Co Kilkenny			"Castlecomer, Co Kilkenny"	Kilkenny
Leixlip Community School	Colaiste Chiarain	Celbridge Road	Leixlip	Co. Kildare		"Celbridge Road, Leixlip, Co. Kildare"	Kildare
Scoil Mhuire Community School	Scoil Mhuire Community School	Clane	Naas	Co Kildare		"Clane, Naas, Co Kildare"	Kildare
Ballincollig Community School	Ballincollig Community School	Innishmore	Ballincollig	Co Cork		"Innishmore, Ballincollig, Co Cork"	Cork
Beara Community School	Beara Community School	Castletownbere	Beara	Co Cork		"Castletownbere, Beara, Co Cork"	Cork
Carrigaline Community School	Carrigaline Community School	Waterpark	Carrigaline	Co Cork		"Waterpark, Carrigaline, Co Cork"	Cork
Millstreet Community School	Millstreet Community School	Millstreet Town	Co Cork			"Millstreet Town, Co Cork"	Cork
St Peter?s Community School	St Peters Community School	Passage West	Co Cork			"Passage West, Co Cork"	Cork
Douglas Community School	Douglas Community School	Clermont Avenue	Douglas	Cork		"Clermont Avenue, Douglas, Cork"	Cork
Bishopstown Community School	Bishopstown Community School	Bishopstown	Cork			"Bishopstown, Cork"	Cork
Mayfield Community School	Mayfield Community School	Old Youghal Road	Mayfield	Cork		"Old Youghal Road, Mayfield, Cork"	Cork
Carndonagh Community School	Carndonagh Community School	Carndonagh	Lifford	Co Donegal		"Carndonagh, Lifford, Co Donegal"	Donegal
Rosses Community School	Rosses Community School	Dungloe	Co. Donegal			"Dungloe, Co. Donegal"	Donegal
Pobalscoil Chloich Cheannfhaola	Pobalscoil Chloich Cheannfhaola	An Fálcarrach	Leitir Ceanainn	Co. Dhún na nGall		"An Fálcarrach, Leitir Ceanainn, Co. Dhún na nGall"	Donegal
Pobalscoil Ghaoth Dobhair	Derrybeg	Doirí Beaga	Leitir Ceannain	Tir Chonaill		"Doirí Beaga, Leitir Ceannain, Tir Chonaill"	Donegal
Scoil Phobail Mhic Dara	Scoil Phobail Mhic Dara	Carna	Co na Gaillimhe			"Carna, Co na Gaillimhe"	Galway
Scoil Phobail	Scoil Phobail	Clifden	Co Galway			"Clifden, Co Galway"	Galway
Portumna Community School	Portumna Community School	Portumna	Co. Galway			"Portumna, Co. Galway"	Galway
Dunmore Community School	Dunmore Community School	Dunmore	Co Galway			"Dunmore, Co Galway"	Galway
Mountmellick Community School	Mountmellick Community School	Mountmellick	Co Laois			"Mountmellick, Co Laois"	Laois
Heywood Community School	Heywood Community School	Ballinakill	Portlaoise	Co. Laois		"Ballinakill, Portlaoise, Co. Laois"	Laois
Ramsgrange Community School	Ramsgrange Community School	Ramsgrange	New Ross	Co Wexford		"Ramsgrange, New Ross, Co Wexford"	Wexford
Moyne Community School	Moyne Community School	Moyne	Co Longford			"Moyne, Co Longford"	Longford
Ardee Community School	Ardee Community School	Ardee	Co Louth			"Ardee, Co Louth"	Louth
St Caimin?s Community School	St Caimin?s Community School	Tullyvarraga	Shannon			"Tullyvarraga, Shannon"	Clare
Kilrush Community School	Kilrush Community School	Kilrush	Co Clare			"Kilrush, Co Clare"	Clare
St Ciaran?s Community School	St Ciarans Community School	Navan Rd	Kells	Co Meath		"Navan Rd, Kells, Co Meath"	Meath
Ballyhaunis Community School	Ballyhaunis Community School	Knock Road	Ballyhaunis	Co.Mayo		"Knock Road, Ballyhaunis, Co.Mayo"	Mayo
Ballinrobe Community School	Ballinrobe Community School	Convent Road	Ballinrobe	Co Mayo		"Convent Road, Ballinrobe, Co Mayo"	Mayo
St.Brendan?s Community School	St Brendan?s Community School	Birr	Co Offaly			"Birr, Co Offaly"	Offaly
Gorey Community School	Gorey Community School	Esmonde Street	Gorey	Co. Wexford		"Esmonde Street, Gorey, Co. Wexford"	Wexford
Castlerea Community School	Castlerea Community School	Castlerea	Co. Roscommon			"Castlerea, Co. Roscommon"	Roscommon
St Louis Community School	St Louis Community School	Kiltimagh	Co Mayo			"Kiltimagh, Co Mayo"	Mayo
Ashbourne Community School	Ashbourne Community School	Deerpark	Ashbourne	Co Meath		"Deerpark, Ashbourne, Co Meath"	Meath
Community School	Carrick-On-Shannon Community School	Carrick-On-Shannon	Leitrim			"Carrick-On-Shannon, Leitrim, "	Leitrim
Cashel Community School	Cashel Community School	Dualla Road	Cashel	Co Tipperary		"Dualla Road, Cashel, Co Tipperary"	Tipperary
Gort Community School	Gort Community School	Gort	Co. Galway			"Gort, Co. Galway"	Galway
Kinsale Community School	Kinsale Community School	Kinsale	Co Cork			"Kinsale, Co Cork"	Cork
Loreto Community School	Loreto Community School	Milford	Co Donegal			"Milford, Co Donegal"	Donegal
Moate Community School	Moate Community School	Church Street	Moate	Co Westmeath		"Church Street, Moate, Co Westmeath"	Westmeath
John The Baptist Community School	John the Baptist Community School	Hospital	Co Limerick			"Hospital, Co Limerick"	Limerick
Pobalscoil Inbhear Sceine	Pobalscoil Inbhear Scéine	Kenmare	Co. Kerry			"Kenmare, Co. Kerry"	Kerry
Scoil Phobail Sliabh Luachra	Scoil Phobail Sliabh Luachra	Rathmore	Co. Kerry			"Rathmore, Co. Kerry"	Kerry
St Wolstan?s Community School	Wolstan?s School	Ballymakeely	Clane Rd	Celbridge	Co Kildare	"Ballymakeely, Clane Rd, Celbridge, Co Kildare"	Kildare
Coláiste Cholmcille	Colaiste Cholmcille	College St	Ballyshannon	Co Donegal		"College St, Ballyshannon, Co Donegal"	Donegal
Boyne Community School	Boyne Community School	Trim	Co. Meath			"Trim, Co. Meath"	Meath
BLACKWATER COMMUNITY SCHOOL	Blackwater Community School	Ballyanchor Road	Lismore	Co Waterford		"Ballyanchor Road, Lismore, Co Waterford"	Waterford
St. Colmcille?s Community School	"St Colmcilles Community School, Knocklyon"	Scholarstown Rd	Knocklyon	Dublin 16		"Scholarstown Rd, Knocklyon, Dublin 16"	Dublin
Pobalscoil Chorca Dhuibhne	Pobalscoil Chorca Dhuibhne	An Grobh	An Daingean	Co. Chiarraí		"An Grobh, An Daingean, Co. Chiarraí"	Kerry
St Attracta?s Community School	St Attractas Community School	Tubbercurry	Co. Sligo			"Tubbercurry, Co. Sligo"	Sligo
Pobalscoil na Tríonóide	Pobalscoil Na Tríonóide	Frogmore	Youghal	Co. Cork P36 Y763		"Frogmore, Youghal, Co. Cork P36 Y763"	Cork
GLENAMADDY COMMUNITY SCHOOL	Glenamaddy Community School	GLENAMADDY	CO GALWAY			"GLENAMADDY, CO GALWAY"	Galway
GALLEN COMMUNITY SCHOOL	Gallen Community School	FERBANE	CO OFFALY			"FERBANE, CO OFFALY"	Offaly
SKIBBEREEN COMMUNITY SCHOOL	Skibbereen Community School	MAIN ST	SKIBBEREEN	CO CORK		"MAIN ST, SKIBBEREEN, CO CORK"	Cork
ATHBOY COMMUNITY SCHOOL	Athboy Community School	ATHBOY	CO MEATH			"ATHBOY, CO MEATH"	Meath
BALLINAMORE COMMUNITY SCHOOL	Leitrim County Library	BALLINAMORE	CO LEITRIM			"BALLINAMORE, CO LEITRIM"	Leitrim
KILDARE TOWN COMMUNITY SCHOOL	Kildare Town Community School	KILDARE	CO KILDARE			"KILDARE, CO KILDARE"	Kildare
MOUNTRATH COMMUNITY SCHOOL	Mountrath Community School	Dysartbeigh	Mountrath	Co. Laois		"Dysartbeigh, Mountrath, Co. Laois"	Laois
Ballymakenny College	Ballymakenny College	Ballymakenny Road	Drogheda			"Ballymakenny Road, Drogheda"	Louth
Celbridge Community School	Celbridge Community School	Celbridge	Co Kildare			"Celbridge, Co Kildare"	Kildare
