name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
St. Michael?s College	St. Michael?s College	Listowel	Co. Kerry			"Listowel, Co. Kerry"	Kerry
Presentation Secondary School	Presentation Secondary School	Listowel	Co Kerry			"Listowel, Co Kerry"	Kerry
Presentation Secondary School	Presentation Secondary School	Miltown	Killarney	Co Kerry		"Miltown, Killarney, Co Kerry"	Kerry
C.B.S. Secondary School	Christian Brothers Secondary School	The Green	Tralee	Co. Kerry		"The Green, Tralee, Co. Kerry"	Kerry
Presentation Secondary School	Presentation Secondary School	Tralee	Co Kerry			"Tralee, Co Kerry"	Kerry
Coláiste Éamann Rís	Edmund Rice College	Callan	Co Kilkenny			"Callan, Co Kilkenny"	Kilkenny
St. Brigid?s College	St Brigids College	Callan	Co. Kilkenny			"Callan, Co. Kilkenny"	Kilkenny
Meánscoil na mBráithre Criostaí	Mean Scoil na mBraithre Criostai	Sráid Shéamais	Cill Channaigh			"Sráid Shéamais, Cill Channaigh"	Kilkenny
St Kieran?s College	St Kieran?s College	Secondary School	College Rd	Kilkenny		"Secondary School, College Rd, Kilkenny"	Kilkenny
Kilkenny College	Kilkenny College	Castlecomer Road	Kilkenny			"Castlecomer Road, Kilkenny"	Kilkenny
Loreto Secondary School	Loreto Secondary School	Granges Road	Kilkenny			"Granges Road, Kilkenny"	Kilkenny
Presentation Secondary School	Presentation Secondary School	Loughboy	Kilkenny			"Loughboy, Kilkenny"	Kilkenny
Salesian College	Salesian College	Celbridge	Co. Kildare			"Celbridge, Co. Kildare"	Kildare
Newbridge College	Newbridge College	Newbridge	Co. Kildare			"Newbridge, Co. Kildare"	Kildare
Patrician Secondary School	Patrician Secondary School	Newbridge	Co Kildare			"Newbridge, Co Kildare"	Kildare
Holy Family Secondary School	Holy Family Secondary School for Girls	Newbridge	Co. Kildare			"Newbridge, Co. Kildare"	Kildare
Cross And Passion College	Cross & Passion College	Kilcullen	Co Kildare			"Kilcullen, Co Kildare"	Kildare
Scoil Dara	Scoil Dara	Church St	Kilcock	Co Kildare		"Church St, Kilcock, Co Kildare"	Kildare
St Pauls Secondary School	St Paul?s Secondary School	Monasterevin	Co Kildare			"Monasterevin, Co Kildare"	Kildare
Meánscoil Iognáid Ris	Meánscoil Iognáid Rís	Naas	Co Kildare			"Naas, Co Kildare"	Kildare
Clongowes Wood College	Clongowes Wood College SJ	Clane	Co Kildare			"Clane, Co Kildare"	Kildare
Coláiste Naomh Mhuire	St Marys College	Convent Of Mercy	Sallins Rd.	Naas	Co Kildare	"Convent Of Mercy, Sallins Rd., Naas, Co Kildare"	Kildare
Arklow CBS	St Kevins Arklow CBS	Coolgreaney Road	Arklow	Co Wicklow		"Coolgreaney Road, Arklow, Co Wicklow"	Wicklow
St Marys College	St Mary?s College	St Mary?s Rd	Arklow	Co Wicklow		"St Mary?s Rd, Arklow, Co Wicklow"	Wicklow
Woodbrook College	Woodbrook College	Woodbrook	Bray	Co Wicklow		"Woodbrook, Bray, Co Wicklow"	Wicklow
Presentation College	Presentation College	Putland Road	Bray	Co. Wicklow		"Putland Road, Bray, Co. Wicklow"	Wicklow
St Gerard?s School	St Gerard?s School	Thornhill Road	Bray			"Thornhill Road, Bray"	Wicklow
Loreto Secondary School	Loreto Secondary School	Vevay Rd	Bray	Co Wicklow		"Vevay Rd, Bray, Co Wicklow"	Wicklow
St David?s Holy Faith Secondary	Saint David?s Holy Faith	Co-Educational School	Greystones	Co Wicklow		"Co-Educational School, Greystones, Co Wicklow"	Wicklow
Dominican College	Dominican College	Wicklow	Co. Wicklow			"Wicklow, Co. Wicklow"	Wicklow
Rice College	Rice College	New Road	Ennis	Co Clare		"New Road, Ennis, Co Clare"	Clare
St Flannan?s College	Saint Flannans College	Ennis	Co Clare			"Ennis, Co Clare"	Clare
Coláiste Mhuire	Colaiste Muire	College Road	Ennis	Co Clare		"College Road, Ennis, Co Clare"	Clare
Meánscoil Na mBráithre	"CBS Secondary School, Ennistymon"	Ennistymon	Co. Clare			"Ennistymon, Co. Clare"	Clare
Scoil Mhuire	Scoil Mhuire	Ennistymon	Co Clare			"Ennistymon, Co Clare"	Clare
Mary Immaculate Secondary School	Mary Immaculate Secondary School	Lisdoonvarna	Co Clare			"Lisdoonvarna, Co Clare"	Clare
St. Joseph?s Secondary School	Saint Joseph?s Secondary School	Spanish Point	Miltown Malbay	Co Clare		"Spanish Point, Miltown Malbay, Co Clare"	Clare
St. Joseph?s Secondary School	"St Joseph?s Secondary School, Tulla"	Tulla	Co. Clare			"Tulla, Co. Clare"	Clare
Árdscoil Uí Urmoltaigh	Bandon	Droichead na Bandan	Co Chorcaí			"Droichead na Bandan, Co Chorcaí"	Cork
Bandon Grammar School	Bandon Grammar School	Bandon	Co Cork			"Bandon, Co Cork"	Cork
Coláiste Na Toirbhirte	Coláiste na Toirbhirte (Presentation College)	Árd Aoibhinn	Bandon	Co Cork		"Árd Aoibhinn, Bandon, Co Cork"	Cork
Scoil Mhuire gan Smal	Scoil Mhuire Gan Smal	Blarney	Co Cork			"Blarney, Co Cork"	Cork
Coláiste An Chroí Naofa	Colaiste An Chroi Naofa	Carraig na bhFear	Co Chorcaí			"Carraig na bhFear, Co Chorcaí"	Cork
St Aloysius College	St Aloysius College	Carrigtwohill	Co Cork			"Carrigtwohill, Co Cork"	Cork
Sacred Heart Secondary School	Sacred Heart Secondary School Clonakilty	Convent of Mercy	Clonakilty	Co. Cork		"Convent of Mercy, Clonakilty, Co. Cork"	Cork
Coláiste Muire	Colaiste Muire	Bishop?s St	Cobh	Co Cork		"Bishop?s St, Cobh, Co Cork"	Cork
Colaiste Muire	Colaiste Muire Crosshaven	Crosshaven	Co. Cork			"Crosshaven, Co. Cork"	Cork
Nagle Rice Secondary School	Nagle Rice Secondary School	Doneraile	Co. Cork			"Doneraile, Co. Cork"	Cork
Coláiste Cholmáin	St Colmans College	Mainistir Fhearmuí	Co Chorcai			"Mainistir Fhearmuí, Co Chorcai"	Cork
Loreto Secondary School	Loreto Secondary School	Fermoy	Co Cork			"Fermoy, Co Cork"	Cork
